image_path,caption,clip_score,blip_score,vqa_score
data/images/85498bb1-9ae7-4b77-b93e-c66f00011a44.png,"2 friendly real estate agent standing. one with curly brown hair and glasses and in her 60''s. the other with red curly hair and glasses in her 40''s. standing  in front of a charming equestrian property.., animated pixar style, high quality drawing, illustration, 4k, 3d",0.341796875,1.0,0.7645575404167175
data/images/b5a9a19e-f630-4eaa-b2e1-fe079027ca33.png,"vector pattern, pastel colors, in style kawai cartoon, highly detailed repating pattern",0.2314453125,0.9921875,0.8651880025863647
data/images/925ced00-c573-43fd-9766-d96acbf0c3c6.png,a young beautiful girl run away kitchen. got scared at night dark mysterious,0.2275390625,0.99609375,0.6259555816650391
data/images/61b0d7a9-8b0d-46d7-8a14-fe9a05351c70.png,Criança menino de 1 ano cabelo cacheado com asa de anjo,0.2314453125,0.34765625,0.7443169355392456
data/images/566cd98a-7e64-47b1-ab9d-abda10a741a7.png,"A little girl wearing a red dress smiled. Play with the lovely white rabbit. In a green forest. Butterflies and birds flying. On the side of the road, flowers are blooming brightly",0.314453125,1.0,0.9679317474365234
data/images/b81d5101-fb09-4410-9f47-b8b9ed1335df.png,A pile of bricks on the floor,0.162109375,0.000131607055664,0.2432219684123993
data/images/604cfbbb-25dc-4e07-998e-bcb92da145d3.png,A girl studying with a coffee at night,0.294921875,0.99609375,0.4350221157073974
data/images/9ceb3416-a100-4fe2-8c31-d120d5bd1502.png,"Meantime the hellish tattoo of the heart increased. It grew quicker and quicker, and louder and louder every instant. The old man''s terror must have been extreme! It grew louder, I say, louder every moment!—do you mark me well? I",0.2138671875,0.1640625,0.405440479516983
data/images/768fc02f-88a8-4332-a68a-1e10d31aa42d.png,"a woman in a business suit, blond hair blue eyes, in a corporate office overlooking a city",0.314453125,1.0,0.9012949466705322
data/images/5269c8d5-ddf9-4808-bf8e-f6231f7a9f59.png,an unkempt man rummaging through a pile of boxes,0.294921875,0.9921875,0.9298372268676758
data/images/3c3a621a-7d02-4457-b7b6-7021359d1302.png,A tree in dessert with spines,0.28125,0.8359375,0.8718583583831787
data/images/3dd32ed1-7bec-44f3-b558-707df8042fb4.png,Dark Aura Shadow Monarch anime,0.228515625,0.9921875,0.6200004816055298
data/images/5ac08612-3448-49ed-84da-d595dfbdee00.png,"ancient China, Within ten miles stretches a bustling street,
Under the moonlight, watching immortals on the bridge meet.
In this transient life, only Yangzhou''s death befits,
Zen wisdom imbues the serene burial ground''s epitome, a perfect fit.

Translation:
A lively market lines the ten-mile long street,
On the Moonlit Bridge, watching immortals meet.
In life, only Yangzhou''s death does suffice,
Zen wisdom radiates from the beautiful cemetery site., Han Chinese Clothing, hanfu, perfect face, symmetric eyes, perfect finger",0.2490234375,0.98828125,0.8397298455238342
data/images/cef5c623-bc1f-43b9-9df8-14c8f59e1fde.png,"Mustang On Road in forest Beautiful drone view, Hyper realistic, Hyper Detailed, Award winning photography",0.255859375,1.0,0.619719922542572
data/images/31eab2d9-ec69-4a05-b001-d53248065c64.png,"a woman on a dragon in armor and armor strikes the 1C program with a spear, best quality, 32k resolution",0.28515625,0.97265625,0.6141063570976257
data/images/8e10fccb-3aac-484c-9519-8d9c67530846.png,"Vector t shirt art ready to print color full graffiti illustration of A SKULL FACE AND A CROWN,white background",0.275390625,0.2021484375,0.252303272485733
data/images/54a45c4d-8f4d-431d-933c-87dff83a2e30.png,my dog's walking path bird eye view light green shades water color sketches,0.26171875,1.0,0.91612046957016
data/images/1eb06ef8-f956-4b0a-8ff6-e22c410ed91a.png,children holding sparkler in hands,0.189453125,0.0002861022949218,0.578129768371582
data/images/a51af72f-9729-4db4-ba38-edb570cd742c.png,Hora de aventuras ,0.2255859375,0.025146484375,0.2259157449007034
data/images/40633c77-e125-4b09-b374-85a4dce9bbbe.png,"Digital art John Jay, dressed in an elegant waistcoat and tricorn hat during 1776, stands before a wall covered in maps and intelligence reports. He gestures emphatically while members of his committee, dressed in various colonial clothing, pore over documents.Historical Context:",0.2578125,1.0,0.7883779406547546
data/images/8d98f552-e7d2-4cc9-bc1b-9814f56ed497.png,foto do chamber maloqueiro,0.19921875,0.9453125,0.4890094697475433
data/images/441e30e9-fe13-4f22-acaf-838135876ab7.png,Cute koala bear eating bamboo in a jungle,0.2373046875,0.87109375,0.5419681072235107
data/images/a4cfaa19-cc48-47fb-a7d7-8ba44e577658.png,"youtube banner for horror channel, Dread Diaries --ar 5:1",0.349609375,1.0,0.7545889019966125
data/images/690b4065-2991-4e07-a4fe-c1d8bd9a5123.png,black carbon texture with red light shining throughffee,0.298828125,0.9921875,0.8511394262313843
data/images/adbdcccd-c5aa-40f4-ba67-58332ed4132a.png,"A bedroom with a desk full of papers and written works of novels on the walls, it seems messy and clean at the same time, make it modern and slightly simple",0.3046875,0.953125,0.8616415858268738
data/images/745a26f4-7225-427a-8da4-ab5b35de5838.png,shakib al hasan,0.296875,0.85546875,0.4378226995468139
data/images/f76b01ba-6336-4f0f-9109-96ea006bb734.png,"Character potreit mini Spiderman, standing on stage, 3d rendering, highest quality, side profile, caricature, chibi, kawaii, 3d rendering, octane rendering, volumetric light, victorian fashion, metallic, highly-detailed symmetric face, highly detailed symmetrical face, -no nose, Giuseppe Arcimboldo, Francisco Goya, Jean Ignace Isidore (Gerard) Granville, Gerhard Gepp, “Kukryniksy”, Gerhard Gluck",0.3046875,1.0,0.3596134781837463
data/images/f9532521-da30-460e-a555-597ba4eefcce.png,"modern futuristic concept store lounge for a store of an Internet Service Provider. cozy and geometric modern with tables, cafeteria, game consoles. use the color white and green, royal blue, yellow.",0.294921875,0.953125,0.9575403928756714
data/images/bd09cfd6-ac1f-442b-a0a6-6ca51b331451.png,a fantasy mistletoe maze with christmas feel,0.271484375,0.875,0.56607985496521
data/images/a6460217-c29d-4d55-af38-eb96c35ae93a.png,"Show Queen conferring with Lady Seraphina and her advisors in her chambers, seeking a solution.",0.2734375,0.98828125,0.684151828289032
data/images/c9e39499-5665-45f7-8a3c-00db7871d64a.png," Composition of recycling such as plastic bottles with tires and drink cans ,food cans ,plastic bags and carton boxes plastic cups and papers glass bottles and jars metal plastic lids and tubs ,magazines and newspapers and paper board boxes and rigid plastic pizza boxes",0.25390625,0.5859375,0.4771867990493774
data/images/7ce3e706-99ff-4ac1-b60d-42db719484d1.png,terminator batman,0.271484375,0.99609375,0.8154327869415283
data/images/f5227c9d-4d68-4229-9249-30c52f9020f9.png,"An astronaut standing on the moon, many planets. Many science objects Sorounded",0.27734375,0.99609375,0.8958297371864319
data/images/fec693b2-391a-4d09-9b66-ee2e4ce20351.png,"Create a logo with a half angel and half  hacker using a laptop in the center and the color is black and gray, the shadow is a vibrant color angel wings encircling the hacker",0.34375,0.99609375,0.7886276841163635
data/images/11e5a15f-6351-427b-8900-4fea90a03245.png,"Type of Image: Hawaii''s Natural Beauty ArtSubject Description: An artistic representation that visually celebrates the natural beauty of Hawaii. Create a captivating scene that showcases the lush landscapes, pristine beaches, and vibrant flora of Hawaii, emphasizing its breathtaking scenery.Art Styles: Natural Beauty ArtArt Inspirations: Representation of Hawaii''s natural wonders, Tropical paradiseCamera: N/AShot: N/ARender Related Information: High resolution, use visual storytelling to convey the natural splendor of Hawaii.",0.2041015625,0.8125,0.7543278932571411
data/images/04815717-a052-4cf7-be84-ac22bc712edc.png,Big wendigo breaks the helicopter,0.2451171875,0.83984375,0.6021194458007812
data/images/4cac9333-ccc8-42e4-a734-b8c3dd0cb804.png,"mid-century living room with cream colored walls, no furniture, oak wood floor, natural sunlight with large window, cartoon",0.251953125,1.0,0.4659359455108642
data/images/5c9edcf0-b47c-4018-a5a4-a7313eae155b.png,"graphic designer designing something.vector illustration. red, grey, black and white theme. WHite background. high definition image",0.263671875,1.0,0.8195827603340149
data/images/4604ffcf-7a4b-40f0-a76e-9ee491f773b6.png,"Cute d3d rendering, rounded pink blue neon lines, glowing in the dark. Abstract minimalist geometric background. Ultraviolet spectrum. Cyber space. Futuristic wallpaperucks living in nature",0.26953125,0.98046875,0.6496584415435791
data/images/f80cc203-5afa-42bc-a481-bf24c37c0c5d.png,"Our protagonist Alex, is carrying a stack of books when he accidentally bump to Sarah in school hallway",0.291015625,0.9921875,0.5715490579605103
data/images/91674c07-7f59-4093-87d4-a0ab8846daf1.png,"In the dawn of Ancient Greece, where gods still tread the earth, Socrates emerged, his presence marked by a celestial eclipse, a whispering omen of the prodigious mind he was destined to become. His youthful gaze mirrored the brilliance of stars, illuminating the shadows of knowledge. Close-up shot, capturing the intensity of his eyes and the ethereal glow surrounding him. Hyper-realistic, photo realism, cinematography.",0.2080078125,0.66796875,0.3427357673645019
data/images/da5c4ccb-5ae7-4b2c-a10e-9126afdfcbad.png,"large double bedroom with open toilet with wabi sabi style interiors, artwork",0.1943359375,0.388671875,0.3522727489471435
data/images/c36da80d-0696-46a9-b205-6c701cd442d2.png,"12oz Camp Mug Mockup, ,placed on empty floor, 3:4",0.287109375,1.0,0.4490196108818054
data/images/0eb26497-ee52-457f-a144-4a42ec54b8a0.png,weed and chess favicon,0.263671875,1.0,0.774384617805481
data/images/e6c27f89-4a9e-4fb5-96e7-3131b0819931.png,"elf woman witch sits on window, bright crimson ruby red shirt hair, pale skin, amber orange shining eyes, golden round spider web and purple glowing on background",0.2890625,1.0,0.8196772336959839
data/images/d1a47e78-0196-4c90-8f96-27a223f242bb.png,Draw a bright sunset on the ocean with many swimming birds.,0.28515625,0.91796875,0.8110359907150269
data/images/70eb2776-7757-4992-9980-55e780931fd8.png,A photorealistic of Santa Claus walking alone on the surface of the moon at night. The background should be a dramatic sky with space objects. Capture this image with a high-resolution photograph using an 85mm lens for a flattering perspective.,0.34765625,1.0,0.4888741672039032
data/images/cc9364f2-c34c-40a4-839d-31882d8e4370.png,"Step into a futuristic fighting game stage, where the lines between reality and illusion are blurred. The simple style and cartoonish characters add a touch of silliness to the intense battles, but beware of the creepy psychological horror lurking in the shadows.",0.1943359375,0.78515625,0.5005917549133301
data/images/8bef0319-9334-4187-815d-483ae72fa7e9.png,"Low angle, wide angle shot of a waterfall in the forest, there are some patches of snow, captured with a Canon EOS 6D Mark II camera, 24mm F1.2 lens, raw art style v--5.1, emotional, excellent image. treatment, high level of detail, 2d, 8k, Fujicolor PRO 400H, a little fire in the background",0.25390625,0.91796875,0.6612874269485474
data/images/358bc0d6-7429-4a0e-85fa-857138085b1e.png,angry birds bad day,0.2578125,0.80078125,0.8930560946464539
data/images/a881d9a7-f584-4569-8c54-14a9c6387d5b.png,"In a moment of vulnerability, Taylor Swift''s emotions spill out onto the white tablecloth, the shattered wine glass a symbol of her shattered heart.",0.27734375,1.0,0.8613415956497192
